GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
84941	1.71e-01	3.04e-02	0.404	-2.1651172	-0.8746745	4422.47	HSH2D	hematopoietic SH2 domain containing
3661	1.71e-01	3.04e-02	0.3371	-2.1649672	-0.7297066	1449.61	IRF3	interferon regulatory factor 3
113218487	1.71e-01	3.04e-02	0.4812	-2.1646038	-1.0416385	1127.65	MIR10394	microRNA 10394
1849	1.71e-01	3.04e-02	0.2703	-2.1641997	-0.5848976	612.13	DUSP7	dual specificity phosphatase 7
28791	1.71e-01	3.05e-02	1.2197	2.1640006	2.639351	251.21	IGLV3-27	immunoglobulin lambda variable 3-27
51157	1.71e-01	3.05e-02	0.4413	-2.1638214	-0.9548286	212.33	ZNF580	zinc finger protein 580
10261	1.71e-01	3.05e-02	0.3726	-2.1634425	-0.8061467	12006.58	IGSF6	immunoglobulin superfamily member 6
7942	1.72e-01	3.06e-02	0.4346	-2.1623328	-0.939661	2679.51	TFEB	transcription factor EB
54682	1.72e-01	3.06e-02	0.3891	2.1620774	0.8411895	3966.05	MANSC1	MANSC domain containing 1
197322	1.72e-01	3.06e-02	0.2759	-2.1621116	-0.5965842	385.52	ACSF3	acyl-CoA synthetase family member 3
84830	1.72e-01	3.07e-02	0.5647	-2.1609306	-1.2202273	52.12	ADTRP	androgen dependent TFPI regulating protein
100128385	1.72e-01	3.07e-02	0.7087	-2.1615432	-1.5319304	65.11	FAM225B	family with sequence similarity 225 member B
283551	1.72e-01	3.07e-02	0.3404	-2.1608948	-0.7355553	72.98	LINC01588	long intergenic non-protein coding RNA 1588
101928556	1.72e-01	3.07e-02	0.3592	2.1612257	0.7762414	41.63	LOC101928556	
3292	1.72e-01	3.07e-02	0.3455	-2.1614355	-0.7467073	50.54	HSD17B1	hydroxysteroid 17-beta dehydrogenase 1
92340	1.72e-01	3.07e-02	0.3861	-2.1609925	-0.8343126	476.9	PRR29	proline rich 29
105372117	1.72e-01	3.07e-02	0.2843	2.1608878	0.6144194	39.86	LOC105372117	replaced by ID 107985152
2866	1.72e-01	3.07e-02	0.6077	-2.161301	-1.3134878	41.14	GPR42	G protein-coupled receptor 42
3148	1.72e-01	3.07e-02	0.4732	2.1606458	1.0223403	24072.27	HMGB2	high mobility group box 2
6004	1.72e-01	3.08e-02	0.4835	2.1600941	1.0443804	27.21	RGS16	regulator of G protein signaling 16
6484	1.72e-01	3.08e-02	0.402	-2.1600083	-0.8682322	1571.59	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4
126321	1.72e-01	3.08e-02	0.3761	-2.1599085	-0.8123726	426.19	MFSD12	major facilitator superfamily domain containing 12
1396	1.72e-01	3.08e-02	0.6253	-2.1593547	-1.3503473	1649.8	CRIP1	cysteine rich protein 1
146225	1.72e-01	3.08e-02	0.4586	-2.159379	-0.9903147	8311.46	CMTM2	CKLF like MARVEL transmembrane domain containing 2
8338	1.73e-01	3.09e-02	0.4602	-2.1587025	-0.9935218	36.02	H2AC20	H2A clustered histone 20
5689	1.73e-01	3.09e-02	0.2734	-2.1583223	-0.5901916	3528.15	PSMB1	proteasome 20S subunit beta 1
408186	1.73e-01	3.09e-02	0.5601	2.1584073	1.2089088	24.72	LOC408186	alpha-2-macroglobulin like 1 pseudogene
101930071	1.73e-01	3.09e-02	0.4543	-2.1577337	-0.9803074	13.95	LOC101930071	uncharacterized LOC101930071
6229	1.73e-01	3.10e-02	0.3494	-2.1575908	-0.7537866	17723.89	RPS24	ribosomal protein S24
326342	1.73e-01	3.10e-02	0.6873	-2.1571942	-1.4826726	73.06	ADGRE4P	adhesion G protein-coupled receptor E4, pseudogene
3300	1.73e-01	3.11e-02	0.3328	-2.156197	-0.7176479	1085.26	DNAJB2	DnaJ heat shock protein family (Hsp40) member B2
9585	1.73e-01	3.11e-02	0.3916	2.1561073	0.8442584	160.34	KIF20B	kinesin family member 20B
6240	1.73e-01	3.11e-02	0.2912	2.1559715	0.6277444	462.22	RRM1	ribonucleotide reductase catalytic subunit M1
10658	1.73e-01	3.11e-02	0.199	2.1562449	0.4291708	3412.62	CELF1	CUGBP Elav-like family member 1
100313837	1.73e-01	3.11e-02	0.5526	-2.1560291	-1.191425	10.74	MIR762	microRNA 762
28943	1.73e-01	3.11e-02	1.096	2.1557712	2.3626633	334.76	IGKV1-6	immunoglobulin kappa variable 1-6
105369199	1.73e-01	3.11e-02	0.4882	2.1555008	1.0524198	15.37	LOC105369199	NBPF member 6 pseudogene
4494	1.73e-01	3.11e-02	0.4131	-2.1552539	-0.8902741	80.92	MT1F	metallothionein 1F
6210	1.73e-01	3.12e-02	0.358	-2.1549892	-0.7714301	16750.58	RPS15A	ribosomal protein S15a
105373836	1.73e-01	3.12e-02	0.4273	2.1545128	0.9205987	113.28	LOC105373836	uncharacterized LOC105373836
7979	1.73e-01	3.12e-02	0.3004	-2.1545166	-0.6473182	742.86	SEM1	SEM1 26S proteasome subunit
26800	1.74e-01	3.12e-02	0.5337	2.1542879	1.1498062	10.54	SNORD49A	small nucleolar RNA, C/D box 49A
1465	1.74e-01	3.13e-02	0.2904	-2.1538372	-0.6254189	1414.16	CSRP1	cysteine and glycine rich protein 1
359845	1.74e-01	3.13e-02	0.3969	2.153296	0.8545911	4486.79	RFLNB	refilin B
2091	1.74e-01	3.13e-02	0.4444	-2.1531681	-0.956794	1794.44	FBL	fibrillarin
10519	1.74e-01	3.13e-02	0.3963	-2.1526494	-0.8530938	1965.72	CIB1	calcium and integrin binding 1
81628	1.74e-01	3.14e-02	0.3553	-2.1524463	-0.7646862	3372.76	TSC22D4	TSC22 domain family member 4
109864279	1.74e-01	3.14e-02	0.4055	-2.152016	-0.8726679	22901.82	RNA45SN2	RNA, 45S pre-ribosomal N2
347517	1.74e-01	3.14e-02	0.3343	-2.1519381	-0.7193774	13.44	RAB41	RAB41, member RAS oncogene family
85003	1.74e-01	3.14e-02	0.5977	-2.1517238	-1.2861845	17.84	BFSP2-AS1	BFSP2 antisense RNA 1
7266	1.74e-01	3.14e-02	0.1486	-2.151622	-0.3197281	1693.72	DNAJC7	DnaJ heat shock protein family (Hsp40) member C7
27181	1.74e-01	3.14e-02	1.8437	-2.1513476	-3.9663325	48	SIGLEC8	sialic acid binding Ig like lectin 8
83608	1.74e-01	3.15e-02	0.248	-2.1511185	-0.5333921	501.35	C18orf21	chromosome 18 open reading frame 21
574042	1.75e-01	3.16e-02	0.342	-2.1494098	-0.7350765	18.55	SNORA10	small nucleolar RNA, H/ACA box 10
4191	1.75e-01	3.16e-02	0.3334	-2.1492553	-0.716596	1563.15	MDH2	malate dehydrogenase 2
647979	1.75e-01	3.16e-02	0.1892	2.1488669	0.4066259	5619.72	NORAD	non-coding RNA activated by DNA damage
378708	1.75e-01	3.17e-02	0.349	2.1482419	0.749696	18.93	CENPS	centromere protein S
203286	1.75e-01	3.17e-02	0.4404	-2.1480299	-0.9459693	60.35	ANKS6	ankyrin repeat and sterile alpha motif domain containing 6
28461	1.75e-01	3.17e-02	1.223	2.1479257	2.6269134	438.41	IGHV1-69	immunoglobulin heavy variable 1-69
91695	1.75e-01	3.17e-02	0.3605	-2.1478417	-0.7743332	151.88	RRP7BP	ribosomal RNA processing 7 homolog B, pseudogene
54935	1.76e-01	3.18e-02	0.3774	-2.1463586	-0.8100134	237.64	DUSP23	dual specificity phosphatase 23
101928673	1.76e-01	3.18e-02	0.3435	2.1467383	0.7374068	41.7	PRDX6-AS1	PRDX6 antisense RNA 1
9254	1.76e-01	3.18e-02	0.3682	-2.1464493	-0.7902716	102.44	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2
23310	1.76e-01	3.19e-02	0.2849	2.1462315	0.6113811	411.45	NCAPD3	non-SMC condensin II complex subunit D3
55198	1.76e-01	3.18e-02	0.2521	2.1463086	0.5411284	1166.06	APPL2	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2
9894	1.76e-01	3.18e-02	0.4371	-2.1463779	-0.9382361	165.36	TELO2	telomere maintenance 2
221749	1.76e-01	3.19e-02	0.3327	-2.1459013	-0.713918	30.28	PXDC1	PX domain containing 1
7775	1.76e-01	3.19e-02	0.2691	-2.1457447	-0.5773165	119.33	ZNF232	zinc finger protein 232
1340	1.76e-01	3.20e-02	0.3791	-2.144995	-0.8131252	6058.76	COX6B1	cytochrome c oxidase subunit 6B1
109910382	1.76e-01	3.19e-02	0.4242	-2.1451173	-0.9100365	18103.93	RNA28SN3	RNA, 28S ribosomal N3
9197	1.76e-01	3.20e-02	0.1912	2.1443051	0.4100738	484.08	SLC33A1	solute carrier family 33 member 1
286	1.76e-01	3.20e-02	0.3581	2.1442712	0.7679316	183.34	ANK1	ankyrin 1
105376517	1.76e-01	3.20e-02	0.4376	2.1439206	0.9382442	78.33	LOC105376517	uncharacterized LOC105376517
90139	1.76e-01	3.21e-02	0.3235	-2.1433899	-0.6933792	265.52	TSPAN18	tetraspanin 18
51204	1.76e-01	3.21e-02	0.2667	-2.1434659	-0.5716738	224.07	TACO1	translational activator of cytochrome c oxidase I
2984	1.77e-01	3.21e-02	0.3889	2.1425852	0.8332639	161.99	GUCY2C	guanylate cyclase 2C
5686	1.77e-01	3.22e-02	0.1832	-2.1416689	-0.3924251	1884.73	PSMA5	proteasome 20S subunit alpha 5
79894	1.77e-01	3.22e-02	0.2272	-2.1413674	-0.4864404	734.88	ZNF672	zinc finger protein 672
6971	1.77e-01	3.22e-02	0.5868	2.1414799	1.2566837	10.86	TRGJP1	T cell receptor gamma joining P1
26775	1.77e-01	3.22e-02	0.4115	-2.1414392	-0.881169	13.58	SNORA72	small nucleolar RNA, H/ACA box 72
51499	1.77e-01	3.22e-02	0.2166	-2.1415616	-0.4638457	321.48	TRIAP1	TP53 regulated inhibitor of apoptosis 1
1153	1.77e-01	3.22e-02	0.3435	-2.1417574	-0.7356042	5569.9	CIRBP	cold inducible RNA binding protein
121512	1.77e-01	3.23e-02	0.4099	2.1410132	0.8775263	2398.75	FGD4	FYVE, RhoGEF and PH domain containing 4
5306	1.77e-01	3.23e-02	0.267	-2.1411054	-0.5716041	3181.07	PITPNA	phosphatidylinositol transfer protein alpha
112268259	1.77e-01	3.24e-02	0.3408	2.1398028	0.7292445	320.74	LOC112268259	
9368	1.78e-01	3.24e-02	0.3647	-2.1392644	-0.7800887	4688.2	NHERF1	NHERF family PDZ scaffold protein 1
100505894	1.78e-01	3.25e-02	0.3246	-2.1385656	-0.6941711	68.63	TMEM161B-DT	TMEM161B divergent transcript
100528064	1.78e-01	3.25e-02	0.3071	-2.1385741	-0.6567294	1681.38	NEDD8-MDP1	NEDD8-MDP1 readthrough
339123	1.78e-01	3.24e-02	0.386	-2.138828	-0.8255341	618.17	JMJD8	jumonji domain containing 8
6237	1.78e-01	3.25e-02	0.4526	-2.1385716	-0.96802	389.83	RRAS	RAS related
2109	1.78e-01	3.25e-02	0.4288	-2.1385346	-0.9170656	663.49	ETFB	electron transfer flavoprotein subunit beta
286042	1.78e-01	3.25e-02	0.3714	-2.1381216	-0.7940352	280.2	FAM86B3P	family with sequence similarity 86, member A pseudogene
91947	1.78e-01	3.25e-02	0.4415	2.1378439	0.9439322	1062.29	ARRDC4	arrestin domain containing 4
51097	1.78e-01	3.25e-02	0.2857	-2.137703	-0.6107477	393.53	SCCPDH	saccharopine dehydrogenase (putative)
337867	1.78e-01	3.26e-02	0.1945	-2.137256	-0.4156939	1950.56	UBAC2	UBA domain containing 2
79891	1.78e-01	3.26e-02	0.1908	-2.1374962	-0.4077861	384.01	ZNF671	zinc finger protein 671
1476	1.78e-01	3.26e-02	0.2855	-2.1372494	-0.6102113	2298.22	CSTB	cystatin B
100861541	1.78e-01	3.26e-02	0.6502	-2.136913	-1.3894591	8.99	DOCK9-DT	DOCK9 divergent transcript
101927051	1.78e-01	3.26e-02	0.275	-2.1366677	-0.5875613	409.52	PDXP-DT	PDXP divergent transcript
3420	1.78e-01	3.26e-02	0.2581	-2.1364652	-0.551327	1606.99	IDH3B	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta
80380	1.78e-01	3.27e-02	1.0216	-2.1362778	-2.1825213	99.79	PDCD1LG2	programmed cell death 1 ligand 2
596	1.78e-01	3.27e-02	0.4241	-2.1359812	-0.9058213	507.32	BCL2	BCL2 apoptosis regulator
85495	1.78e-01	3.27e-02	0.6719	-2.1356961	-1.4350031	27.3	RPPH1	ribonuclease P RNA component H1
90324	1.78e-01	3.27e-02	0.2412	-2.135428	-0.5149819	1327.05	CCDC97	coiled-coil domain containing 97
3155	1.78e-01	3.27e-02	0.2909	-2.1351705	-0.6211837	745.23	HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase
105373805	1.78e-01	3.27e-02	0.4171	-2.1352048	-0.8905517	109.1	STAT4-AS1	STAT4 antisense RNA 1
5826	1.78e-01	3.28e-02	0.227	-2.1348695	-0.4846294	632.01	ABCD4	ATP binding cassette subfamily D member 4
147923	1.78e-01	3.28e-02	0.241	-2.1348224	-0.5145833	115.74	ZNF420	zinc finger protein 420
124641	1.78e-01	3.28e-02	0.332	-2.1345527	-0.7086348	249.74	OVCA2	OVCA2 serine hydrolase domain containing
79717	1.79e-01	3.28e-02	0.2447	-2.1342343	-0.5222211	1171.93	PPCS	phosphopantothenoylcysteine synthetase
6793	1.79e-01	3.28e-02	0.21	-2.133955	-0.4481507	9008.04	STK10	serine/threonine kinase 10
400617	1.79e-01	3.28e-02	0.4795	2.1340753	1.0232041	227.05	KCNJ2-AS1	KCNJ2 antisense RNA 1
79710	1.79e-01	3.28e-02	0.4134	-2.134126	-0.8822512	49.58	MORC4	MORC family CW-type zinc finger 4
54497	1.79e-01	3.29e-02	0.3562	2.1335797	0.7600508	1067.3	HEATR5B	HEAT repeat containing 5B
102723675	1.79e-01	3.29e-02	0.3398	-2.1335788	-0.7250414	23.58	LOC102723675	uncharacterized LOC102723675
374882	1.79e-01	3.29e-02	0.317	-2.1337652	-0.6764383	779.44	TMEM205	transmembrane protein 205
28920	1.79e-01	3.29e-02	1.2624	2.1332226	2.693035	152.54	IGKV2-29	immunoglobulin kappa variable 2-29
10678	1.79e-01	3.30e-02	0.3844	2.1322005	0.8197016	1984.98	B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2
57546	1.79e-01	3.30e-02	0.3333	2.1320588	0.7106234	97.49	PDP2	pyruvate dehydrogenase phosphatase catalytic subunit 2
101929531	1.79e-01	3.30e-02	0.4958	-2.1318706	-1.057041	121.32	LINC01871	long intergenic non-protein coding RNA 1871
10417	1.79e-01	3.31e-02	0.5582	-2.1313859	-1.1897356	241.81	SPON2	spondin 2
3587	1.79e-01	3.31e-02	0.2508	-2.1313432	-0.5345135	3549.42	IL10RA	interleukin 10 receptor subunit alpha
84305	1.79e-01	3.30e-02	0.2701	-2.1315687	-0.5756566	538.24	PYM1	PYM homolog 1, exon junction complex associated factor
54991	1.79e-01	3.31e-02	0.5322	-2.1304843	-1.1338838	34.01	C1orf159	chromosome 1 open reading frame 159
107985942	1.79e-01	3.31e-02	0.5314	2.1306341	1.1322408	21.16	CLASP1-AS1	CLASP1 antisense RNA 1
89839	1.79e-01	3.31e-02	0.5765	2.1306814	1.2282353	26.1	ARHGAP11B	Rho GTPase activating protein 11B
1896	1.79e-01	3.31e-02	0.7669	-2.1305605	-1.6339922	15.1	EDA	ectodysplasin A
7988	1.79e-01	3.32e-02	0.2271	-2.1299348	-0.4837043	270.79	ZNF212	zinc finger protein 212
10445	1.79e-01	3.32e-02	0.2515	-2.1299163	-0.5357141	1366.31	MCRS1	microspherule protein 1
55225	1.80e-01	3.32e-02	0.4152	-2.1294206	-0.8841762	846.91	RAVER2	ribonucleoprotein, PTB binding 2
107985279	1.80e-01	3.32e-02	0.6021	2.1295334	1.2821513	68.58	LOC107985279	uncharacterized LOC107985279
22911	1.80e-01	3.32e-02	0.3511	2.1290516	0.747608	601.66	WDR47	WD repeat domain 47
54753	1.80e-01	3.33e-02	0.483	-2.1289536	-1.0283041	44.12	ZNF853	zinc finger protein 853
79143	1.80e-01	3.33e-02	0.3919	-2.1285842	-0.8341045	6437.6	MBOAT7	membrane bound O-acyltransferase domain containing 7
8934	1.80e-01	3.33e-02	0.2094	-2.1280702	-0.445701	1394.27	RAB29	RAB29, member RAS oncogene family
221927	1.80e-01	3.33e-02	0.4229	-2.1281306	-0.9000719	451.25	BRAT1	BRCA1 associated ATM activator 1
100188893	1.80e-01	3.34e-02	0.3046	-2.1276264	-0.6481413	1622.43	TOMM6	translocase of outer mitochondrial membrane 6
107080644	1.80e-01	3.34e-02	0.2532	-2.1270214	-0.5386455	1377.02	CNPY3-GNMT	CNPY3-GNMT readthrough
100499405	1.80e-01	3.34e-02	0.3181	-2.1270918	-0.676602	85.52	LINC00987	long intergenic non-protein coding RNA 987
25865	1.80e-01	3.34e-02	0.3122	-2.1271323	-0.6640142	2505.33	PRKD2	protein kinase D2
56944	1.80e-01	3.35e-02	0.6496	2.1264034	1.3812491	9.23	OLFML3	olfactomedin like 3
29851	1.80e-01	3.35e-02	0.4546	-2.1263883	-0.9667605	164.16	ICOS	inducible T cell costimulator
100216546	1.80e-01	3.35e-02	0.242	2.1260756	0.514563	136.49	LINC01004	long intergenic non-protein coding RNA 1004
838	1.80e-01	3.35e-02	0.6526	-2.1260892	-1.3874636	1560.13	CASP5	caspase 5
9834	1.80e-01	3.34e-02	0.5999	2.1267805	1.2758705	369.66	FAM30A	family with sequence similarity 30 member A
7157	1.80e-01	3.35e-02	0.3039	-2.1264281	-0.6462422	428.36	TP53	tumor protein p53
3581	1.80e-01	3.35e-02	0.467	-2.1261774	-0.9929407	75.52	IL9R	interleukin 9 receptor
54875	1.80e-01	3.35e-02	0.2825	2.1258803	0.6006376	146.59	CNTLN	centlein
252969	1.80e-01	3.35e-02	0.2875	-2.1256504	-0.6110228	95.24	NEIL2	nei like DNA glycosylase 2
9301	1.81e-01	3.37e-02	0.6409	2.1237357	1.3610158	6.18	SNORD27	small nucleolar RNA, C/D box 27
101929054	1.81e-01	3.37e-02	0.3714	2.1235639	0.7887473	13.51	TWF2-DT	TWF2 divergent transcript
84058	1.81e-01	3.37e-02	0.518	-2.123285	-1.0998391	122.26	WDR54	WD repeat domain 54
55757	1.81e-01	3.37e-02	0.3565	2.1231534	0.7570081	68.67	UGGT2	UDP-glucose glycoprotein glucosyltransferase 2
57710	1.81e-01	3.38e-02	0.4432	2.122502	0.9407716	116.34	KIAA1614	KIAA1614
8795	1.81e-01	3.38e-02	0.2763	-2.1224818	-0.5865455	1557.45	TNFRSF10B	TNF receptor superfamily member 10b
107984515	1.81e-01	3.38e-02	0.6445	-2.1224863	-1.3678902	15.07	LOC107984515	uncharacterized LOC107984515
23241	1.81e-01	3.38e-02	0.3672	-2.1222359	-0.7793601	267.74	PACS2	phosphofurin acidic cluster sorting protein 2
677822	1.81e-01	3.39e-02	0.2801	2.1217618	0.5942069	42.6	SNORA40	small nucleolar RNA, H/ACA box 40
127281	1.82e-01	3.39e-02	0.3687	-2.1211599	-0.7820403	186.35	PRXL2B	peroxiredoxin like 2B
352954	1.82e-01	3.39e-02	0.2825	2.1208609	0.5991149	688.22	CASTOR3P	CASTOR family member 3, pseudogene
726	1.82e-01	3.39e-02	0.4073	-2.120853	-0.8637261	25.9	CAPN5	calpain 5
112268174	1.82e-01	3.39e-02	0.4098	2.1208751	0.8690815	19.32	LOC112268174	uncharacterized LOC112268174
2359	1.82e-01	3.39e-02	0.4093	-2.1207466	-0.8681205	72.99	FPR3	formyl peptide receptor 3
23318	1.82e-01	3.40e-02	0.3052	2.1195598	0.6469915	605.72	TUT4	terminal uridylyl transferase 4
8647	1.82e-01	3.41e-02	0.7415	2.1193453	1.5714604	7.68	ABCB11	ATP binding cassette subfamily B member 11
28625	1.82e-01	3.41e-02	0.6218	-2.1194662	-1.3179573	9.47	TRBJ2-4	T cell receptor beta joining 2-4
101929356	1.82e-01	3.41e-02	0.3148	2.1191455	0.6671214	47.27	LOC101929356	
23180	1.82e-01	3.41e-02	0.313	-2.1186273	-0.663083	524.54	RFTN1	raftlin, lipid raft linker 1
340542	1.82e-01	3.41e-02	0.6688	-2.1185419	-1.4168613	17.11	BEX5	brain expressed X-linked 5
100132948	1.83e-01	3.42e-02	0.6426	2.1177323	1.3609304	20.15	FAM27C	family with sequence similarity 27 member C
9044	1.83e-01	3.42e-02	0.2942	2.1177862	0.6230298	1791.59	BTAF1	B-TFIID TATA-box binding protein associated factor 1
741	1.83e-01	3.42e-02	0.5768	-2.1173916	-1.2213263	14.63	ZNHIT2	zinc finger HIT-type containing 2
79807	1.83e-01	3.43e-02	0.5735	2.1170142	1.2140834	39.59	GSTCD	glutathione S-transferase C-terminal domain containing
26	1.83e-01	3.43e-02	1.4651	-2.116903	-3.101482	140.01	AOC1	amine oxidase copper containing 1
3281	1.83e-01	3.43e-02	0.2558	-2.1168998	-0.5414363	3194.5	HSBP1	heat shock factor binding protein 1
152100	1.83e-01	3.43e-02	0.1926	2.1161882	0.4076661	1058.87	CMC1	C-X9-C motif containing 1
3386	1.83e-01	3.43e-02	0.4826	-2.116053	-1.0211951	49.5	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)
55902	1.83e-01	3.43e-02	0.2025	-2.1161491	-0.4285654	1307.3	ACSS2	acyl-CoA synthetase short chain family member 2
4726	1.83e-01	3.44e-02	0.3991	-2.115614	-0.8444028	434.9	NDUFS6	NADH:ubiquinone oxidoreductase subunit S6
28958	1.83e-01	3.44e-02	0.3569	-2.1152347	-0.7548485	367.99	COA3	cytochrome c oxidase assembly factor 3
57659	1.83e-01	3.44e-02	0.2703	-2.1147779	-0.5716849	755.95	ZBTB4	zinc finger and BTB domain containing 4
34	1.84e-01	3.46e-02	0.3251	2.1135396	0.6870554	577.27	ACADM	acyl-CoA dehydrogenase medium chain
8636	1.84e-01	3.46e-02	0.431	-2.1134408	-0.9108112	651.64	SSNA1	SS nuclear autoantigen 1
3911	1.84e-01	3.46e-02	0.8252	2.1132838	1.7437865	9.49	LAMA5	laminin subunit alpha 5
64065	1.84e-01	3.46e-02	0.5319	2.1128916	1.1237992	58.6	PERP	p53 apoptosis effector related to PMP22
1506	1.84e-01	3.46e-02	0.369	-2.1127968	-0.7795467	410.69	CTRL	chymotrypsin like
107985568	1.84e-01	3.46e-02	0.481	-2.1129586	-1.0162524	89.76	LOC107985568	uncharacterized LOC107985568
340061	1.84e-01	3.46e-02	0.3203	-2.1125309	-0.6765632	1983.24	STING1	stimulator of interferon response cGAMP interactor 1
85464	1.84e-01	3.46e-02	0.3424	2.1126135	0.7233776	15604.73	SSH2	slingshot protein phosphatase 2
55715	1.84e-01	3.47e-02	0.4231	-2.1122783	-0.8937735	170.92	DOK4	docking protein 4
25983	1.84e-01	3.47e-02	0.1441	-2.1116492	-0.3043477	535.48	NGDN	neuroguidin
79602	1.84e-01	3.48e-02	0.176	2.1110076	0.3715474	1863.75	ADIPOR2	adiponectin receptor 2
129303	1.85e-01	3.48e-02	0.3594	-2.1104507	-0.758589	162.42	TMEM150A	transmembrane protein 150A
1237	1.85e-01	3.48e-02	0.7433	-2.1104543	-1.5687566	11.14	CCR8	C-C motif chemokine receptor 8
63908	1.85e-01	3.48e-02	0.3429	2.1105549	0.7236349	362.57	NAPB	NSF attachment protein beta
3960	1.85e-01	3.49e-02	0.4604	-2.1099407	-0.971512	13.15	LGALS4	galectin 4
6204	1.85e-01	3.49e-02	0.4081	-2.1094097	-0.8608995	5490.44	RPS10	ribosomal protein S10
4261	1.85e-01	3.50e-02	0.3497	-2.1088115	-0.7374843	964.52	CIITA	class II major histocompatibility complex transactivator
64180	1.85e-01	3.50e-02	0.4842	-2.1086833	-1.021078	343.86	DPEP3	dipeptidase 3
8277	1.85e-01	3.50e-02	0.5753	-2.1084916	-1.2130814	98.02	TKTL1	transketolase like 1
2342	1.85e-01	3.50e-02	0.208	2.1081774	0.43847	263.49	FNTB	farnesyltransferase, CAAX box, beta
55505	1.85e-01	3.50e-02	0.2969	-2.1081286	-0.6258958	7462.76	NOP10	NOP10 ribonucleoprotein
23557	1.85e-01	3.51e-02	0.231	-2.1075856	-0.4869454	623.15	SNAPIN	SNAP associated protein
253832	1.85e-01	3.51e-02	0.4195	2.1075444	0.8840849	4883	ZDHHC20	zinc finger DHHC-type palmitoyltransferase 20
117584	1.85e-01	3.51e-02	0.2602	2.1074721	0.5483715	1465.18	RFFL	ring finger and FYVE like domain containing E3 ubiquitin protein ligase
27076	1.85e-01	3.51e-02	0.6277	-2.1075444	-1.3229695	20.32	LYPD3	LY6/PLAUR domain containing 3
203547	1.85e-01	3.51e-02	0.1772	-2.1075517	-0.3734922	515.96	VMA21	vacuolar ATPase assembly factor VMA21
1892	1.85e-01	3.51e-02	0.3751	-2.1069729	-0.7902377	472.59	ECHS1	enoyl-CoA hydratase, short chain 1
2778	1.85e-01	3.51e-02	0.1794	2.1069972	0.3780013	17447.26	GNAS	GNAS complex locus
128866	1.86e-01	3.52e-02	0.2549	-2.1062955	-0.5369665	3682.06	CHMP4B	charged multivesicular body protein 4B
101928605	1.86e-01	3.52e-02	0.4225	2.1055592	0.8895837	21.63	ARHGEF35-AS1	ARHGEF35 antisense RNA 1
3344	1.86e-01	3.53e-02	0.3665	2.1051422	0.7714882	2582.62	FOXN2	forkhead box N2
6949	1.86e-01	3.53e-02	0.307	-2.104902	-0.646288	519.03	TCOF1	treacle ribosome biogenesis factor 1
10534	1.86e-01	3.54e-02	0.4008	-2.1039833	-0.8432649	73.03	ZNRD2	zinc ribbon domain containing 2
28785	1.86e-01	3.54e-02	1.2967	2.1040119	2.7281823	207.57	IGLV4-60	immunoglobulin lambda variable 4-60
54885	1.86e-01	3.54e-02	0.4547	2.1040224	0.9567549	29.99	TBC1D8B	TBC1 domain family member 8B
4636	1.87e-01	3.55e-02	0.3453	-2.1029605	-0.726108	512.7	MYL5	myosin light chain 5
112268024	1.87e-01	3.55e-02	0.4327	2.1029587	0.9100363	25.1	LOC112268024	
84623	1.87e-01	3.55e-02	0.6416	-2.1025807	-1.3490687	7.55	KIRREL3	kirre like nephrin family adhesion molecule 3
105370447	1.87e-01	3.55e-02	0.3036	-2.10239	-0.6383529	344.13	LOC105370447	uncharacterized LOC105370447
7844	1.87e-01	3.56e-02	0.2641	2.1015259	0.5549477	813.83	RNF103	ring finger protein 103
107986710	1.87e-01	3.56e-02	0.4402	2.1011892	0.924938	49.89	LOC107986710	uncharacterized LOC107986710
653583	1.87e-01	3.56e-02	0.5039	-2.1011006	-1.05878	31.29	PHLDB3	pleckstrin homology like domain family B member 3
26220	1.87e-01	3.56e-02	0.4966	2.1010994	1.0433471	16.02	DGCR5	DiGeorge syndrome critical region gene 5
29941	1.87e-01	3.57e-02	0.4346	-2.1008485	-0.9129953	64.41	PKN3	protein kinase N3
80267	1.87e-01	3.57e-02	0.3744	2.1004579	0.7865016	2502.11	EDEM3	ER degradation enhancing alpha-mannosidase like protein 3
64651	1.87e-01	3.57e-02	0.3194	-2.1004668	-0.6708455	3294.66	CSRNP1	cysteine and serine rich nuclear protein 1
1021	1.87e-01	3.57e-02	0.2568	2.1003878	0.539312	456.86	CDK6	cyclin dependent kinase 6
729603	1.87e-01	3.57e-02	0.37	2.1000741	0.7770288	259.21	CHP1P2	CHP1 pseudogene 2
10411	1.87e-01	3.57e-02	0.358	-2.1000106	-0.7518935	75.99	RAPGEF3	Rap guanine nucleotide exchange factor 3
105373283	1.88e-01	3.58e-02	0.4965	-2.0993452	-1.0422332	10.31	LOC105373283	
105372141	1.88e-01	3.58e-02	0.2977	-2.0990478	-0.6249642	62.72	LOC105372141	uncharacterized LOC105372141
